uri:/instrument/1.0/ibm/chartdata;type=quote;range=1y/csv
ticker:ibm
Company-Name:International Business Machines
Exchange-Name:NYQ
unit:DAY
timestamp:
first-trade:19620102
last-trade:20140731
currency:USD
previous_close_price:195.0400
Date:20130801,20140731
labels:20130801,20130903,20131001,20131101,20131202,20140102,20140203,20140303,20140401,20140501,20140602,20140701
values:Date,close,high,low,open,volume
close:172.8000,197.7700
high:173.7500,199.2100
low:172.1900,195.8800
open:172.1900,198.0500
volume:1613600,22368900
20130801,195.8100,197.1700,195.4100,196.6500,2877700
20130802,195.1600,195.5000,193.2200,195.5000,3874000
20130805,195.5000,195.8800,194.3500,195.1600,2490900
20130806,190.9900,192.5100,190.2700,192.2600,5938500
20130807,188.5600,189.9300,188.0500,189.6000,3901700
20130808,187.9300,189.8700,186.7900,189.4500,4547600
20130809,187.8200,189.1600,187.0000,188.0000,3249600
20130812,189.0900,189.5600,186.8900,186.9700,3026500
20130813,188.4200,189.9900,187.5600,189.5400,3542900
20130814,187.5300,188.9300,187.3000,188.5800,2892300
20130815,185.7900,187.0000,185.4500,186.2300,3692400
20130816,185.3400,186.4600,185.3400,185.5400,3426400
20130819,184.2300,186.5000,183.9800,185.3000,3248900
20130820,184.5600,185.6300,183.1700,184.3700,3117800
20130821,184.8600,186.5700,184.2800,184.6700,3551000
20130822,185.1900,186.2500,184.2500,185.6500,2354300
20130823,185.4200,185.7400,184.5700,185.3400,2292700
20130826,184.7400,187.0000,184.6800,185.2700,2170400
20130827,182.7400,184.5000,182.5700,183.6300,3190700
20130828,182.1600,183.4700,181.1000,182.6800,3979200
20130829,182.6400,183.7000,181.4400,181.9600,2980900
20130830,182.2700,182.9900,181.5100,182.7500,2731000
20130903,183.9600,184.3200,182.5100,183.6300,3487200
20130904,183.1300,184.1900,182.3100,183.5800,2597900
20130905,184.1500,185.0000,183.0700,183.3500,2867600
20130906,183.0300,184.9900,182.6500,184.6500,2903500
20130909,184.9800,185.4900,183.3100,183.6800,3017200
20130910,186.6000,187.6500,186.3700,187.2000,3149600
20130911,190.7000,190.8700,186.8200,186.8300,4962900
20130912,190.7300,191.3200,189.8500,190.9600,3354800
20130913,192.1700,193.1000,191.0000,191.2100,3710400
20130916,193.1500,194.8100,192.6100,193.7000,3902400
20130917,192.1600,194.1500,191.8300,193.4200,2930900
20130918,194.4200,194.8900,192.0000,192.6000,3841800
20130919,193.3900,194.8900,193.2200,194.1800,3178100
20130920,190.0200,194.4300,190.0200,193.9600,8525900
20130923,190.9900,192.4100,189.3300,190.0600,3340800
20130924,189.9700,191.5600,189.6600,190.9300,3085300
20130925,189.4700,190.6200,188.5000,190.1400,2654500
20130926,190.2200,191.7600,189.4600,190.1000,2093600
20130927,186.9200,188.9400,186.4500,188.8700,3905500
20130930,185.1800,186.7400,184.3400,185.5600,3978200
20131001,186.3800,186.6500,184.6500,185.3400,2681200
20131002,184.9600,186.3100,184.4100,185.5400,3617100
20131003,183.8600,184.9600,183.0000,184.7000,3211800
20131004,184.1000,185.1300,183.5800,184.1700,2863600
20131007,182.0100,183.3100,181.8500,181.8500,3966400
20131008,178.7200,181.9900,178.7100,181.8900,5578300
20131009,181.3200,181.6700,179.1000,179.3700,4423500
20131010,184.7700,184.7700,182.3600,183.1700,3658900
20131011,186.1600,186.2300,184.1200,185.2500,3232600
20131014,186.9700,186.9900,184.4200,185.4100,2663100
20131015,184.6600,185.9400,184.2200,185.7400,3365100
20131016,186.7300,186.7300,184.9900,185.4200,6718000
20131017,174.8300,177.0000,172.5700,173.8400,22368900
20131018,173.7800,175.0000,173.2500,174.8000,10548000
20131021,172.8600,174.7500,172.6300,174.4200,7098700
20131022,174.9700,175.5700,172.9500,173.3500,6977300
20131023,175.7700,175.9900,174.4000,175.0900,5409400
20131024,177.8000,177.8900,176.2500,176.4300,5533300
20131025,176.8500,179.1000,176.2600,178.4300,4842800
20131028,177.3500,177.8900,176.2000,177.0400,3712700
20131029,182.1200,182.3200,177.5000,177.6200,8904600
20131030,180.1500,182.1800,179.8600,181.6900,5273700
20131031,179.2100,181.6700,179.0400,179.6500,4318100
20131101,179.2300,180.3400,178.8800,179.8100,3644500
20131104,180.2700,180.8000,179.3400,179.9000,3483300
20131105,177.8500,179.8000,177.7100,179.5400,6096800
20131106,179.1900,179.7500,177.7800,177.9100,4560700
