uri:/instrument/1.0/ibm/chartdata;type=quote;range=5y/csv
ticker:ibm
Company-Name:International Business Machines
Exchange-Name:NYQ
unit:WEEK
timestamp:
first-trade:19620102
last-trade:20140731
currency:USD
previous_close_price:117.9300
Date:20090803,20140728
labels:20090803,20091005,20100104,20100405,20100706,20101004,20110103,20110404,20110705,20111003,20120103,20120402,20120702,20121001,20130107,20130401,20130701,20131007,20140106,20140407,20140707
values:Date,close,high,low,open,volume
close:117.4600,214.9200
high:118.9300,215.9000
low:115.1500,210.1100
open:116.6900,212.9000
volume:2474740,12202725
20090803,119.3300,119.9600,116.7000,118.8800,5578760
20090810,118.5700,119.9600,117.3200,118.1700,5080220
20090817,119.9000,120.0100,116.1200,116.6900,5524440
20090824,118.2200,120.8800,117.5100,119.9200,5224740
20090831,117.4600,118.9300,115.1500,117.1000,5061980
20090908,118.0500,119.2500,116.1600,117.9400,5457175
20090914,122.1100,122.8800,116.9400,117.0000,8171940
20090921,121.0800,122.7400,120.1000,121.0300,5246520
20090928,119.0200,122.0000,117.2600,120.5200,7476020
20091005,125.9300,126.0000,118.1300,118.9000,7565100
20091012,121.6400,128.6100,121.2500,125.4400,11195760
20091019,120.3600,124.1100,120.0000,121.7600,7258400
20091026,120.6100,123.2500,119.1500,120.6100,7757080
20091102,123.4900,123.5000,119.5000,120.7700,6158180
20091109,127.0300,127.8000,123.4900,123.9200,6213000
20091116,126.9600,128.6500,126.4600,127.1700,4696540
20091123,125.7000,128.9400,124.2600,127.7000,4776725
20091130,127.2500,128.9000,124.9200,125.1200,6061540
20091207,129.6800,129.7700,126.1100,126.8800,5848540
20091214,127.9100,129.9800,127.0000,129.6500,6890500
20091221,130.5700,130.5700,127.6800,127.8000,4675175
20091228,130.9000,132.8500,130.6800,130.9900,4518750
20100104,130.8500,132.9700,128.9100,131.1800,5727960
20100111,131.7800,132.8900,128.6700,131.0600,7174700
20100119,125.5000,134.2500,125.3700,131.6300,12202725
20100125,122.3900,127.7500,121.9000,126.3300,8557280
20100201,123.5200,126.0700,121.8300,123.2300,7012760
20100208,124.0000,124.2000,121.6100,123.1500,6017760
