Date,close,high,low,open,volume
20040803,83.4800,86.8000,83.4200,86.7000,4351725
20040809,83.9100,84.9900,81.9000,83.4800,5239380
20040816,85.2500,85.3500,83.5100,83.7000,4304860
20040823,84.9400,85.4500,84.3500,85.2300,3391160
20040830,84.3900,85.0900,83.6500,84.5700,3457220
20040907,86.7600,87.0000,84.6000,84.7000,4498725
20040913,85.7400,87.2800,85.4400,87.0000,4641560
20040920,84.4300,86.4300,83.2400,85.4000,4633580
20040927,86.7200,86.9800,83.8800,84.1000,4493000
20041004,86.7100,88.1000,86.5100,87.0000,4260680
20041011,84.8500,87.2000,84.3000,86.7700,4891300
20041018,87.3900,89.7300,84.2900,84.3000,7985560
20041025,89.7500,90.2700,87.3100,87.3600,5578080
20041101,93.2800,93.5200,89.2300,89.3300,6152520
20041108,95.3200,95.5000,92.5000,92.5000,5618120
20041115,94.4500,96.6300,94.2500,95.0800,5451980
20041122,94.7200,95.7900,94.1600,94.3000,4324725
20041129,97.0800,97.6300,94.2400,94.9400,5882740
20041206,96.6700,98.2500,95.7100,96.8800,5390560
20041213,96.2000,98.1500,96.0800,96.8500,5544080
20041220,97.7200,98.0000,96.3500,96.3500,4538100
20041227,98.5800,99.0000,97.3700,97.6900,3500240
20050103,95.7800,99.1000,95.4700,98.9700,5483060
20050110,94.1000,96.2000,93.5500,95.7800,5212060
20050118,92.3800,95.3400,92.2300,93.6500,7139000
20050124,92.8900,93.5900,91.4400,92.7000,5533500
20050131,94.5100,94.7400,93.0000,93.6500,3946200
20050207,93.3000,94.9000,92.3000,94.3500,4220740
20050214,93.2700,94.9700,92.9000,93.1600,4000560
20050222,92.8000,93.5000,91.5500,92.6700,4670075
20050228,92.3700,93.7300,92.2000,92.5300,4405780
20050307,91.5100,93.0000,91.2000,92.3500,4912540
20050314,89.2800,92.2700,89.0900,91.5000,5153500
20050321,90.7000,91.5500,89.2600,89.4200,4726025
20050328,90.4400,91.7600,90.0400,90.7100,5110600
20050404,87.6000,90.6200,87.5000,90.0800,5535580
20050411,76.7000,87.5600,76.3300,87.3500,12428880
20050418,74.2100,77.7500,71.8500,77.1500,14018000
20050425,76.3800,77.1800,74.0500,75.1000,10222400
20050502,75.2600,78.1100,74.9700,76.8800,7812640
20050509,73.1600,75.4600,72.5000,75.2600,6745420
20050516,76.4100,77.6400,73.0900,73.0900,6861380
20050523,77.1000,77.4100,75.1700,76.3000,4979960
20050531,75.7900,77.5000,75.5000,77.3000,5993775
20050606,74.7700,76.0900,74.1000,75.8000,4960840
20050613,76.3900,77.7300,74.4500,74.5000,6713600
20050620,74.0100,77.4900,74.0000,76.0300,6657960
20050627,74.6700,75.6800,73.4500,74.0100,6135560
20050705,79.3000,79.5200,74.1600,74.3800,9347200
20050711,82.3800,82.7500,78.5200,79.4000,9132500
20050718,84.4400,85.1100,81.6800,81.9900,9002840
20050725,83.4600,84.5200,82.8100,83.9800,4876580
20050801,83.3600,84.2000,82.7300,83.0000,4453140
20050808,82.1900,84.0100,81.6200,83.4100,4513760
20050815,82.7600,83.3000,80.8000,81.9000,4577160
20050822,80.3800,83.3500,80.2600,82.7500,4442100
20050829,79.4600,81.7500,79.3400,80.0000,5034300
20050906,81.4400,81.5200,79.7000,79.7000,4670325
20050912,80.3300,82.1100,79.6700,81.0300,5022080
20050919,78.0000,79.9800,77.3000,79.7400,6340360
20050926,80.2200,80.5500,76.9300,78.3100,6023340
20051003,80.5000,81.4700,78.7000,80.2200,6184360
20051010,82.3500,83.5200,81.0800,81.2400,7269860
20051017,83.3300,84.6000,81.9300,82.3600,7857220
20051024,81.4200,83.9500,80.5000,83.1500,5158680
20051031,83.0000,83.3000,80.6400,81.5100,6230800
20051107,84.5500,84.8400,82.3000,83.1000,4352520
20051114,87.7700,88.0000,84.0300,84.2500,6143920
20051121,88.8000,89.3900,86.8800,87.6000,4548275
20051128,88.6500,89.9400,88.3600,88.8000,5153080
20051205,86.9700,89.9200,86.3300,88.4000,5285580
20051212,83.3700,87.3500,82.7500,87.0100,7861060
20051219,83.4800,84.2000,82.0600,83.2300,5459640
20051227,82.2000,84.5000,81.5600,83.4800,4405500
20060103,84.9500,85.0300,80.8100,82.4500,9239550
20060109,83.1700,84.8100,82.5000,83.9000,6034640
20060117,81.3600,84.7000,81.2500,82.8000,8698125
20060123,81.0200,82.1500,80.5900,81.3300,6494200
20060130,79.9700,82.2400,79.7200,80.2100,6713200
20060206,81.3300,81.4600,78.9300,79.9400,6565220
20060213,80.7100,81.9100,80.1300,81.3300,5398840
20060221,80.1000,81.6500,79.8500,80.1000,5003725
20060227,79.9600,80.8900,79.5100,79.9700,4738640
20060306,81.5700,82.2500,79.8600,79.9100,4741620
20060313,83.3000,83.7600,81.4500,81.5600,5034740
20060320,83.3600,84.9900,82.9300,83.1100,5109560
20060327,82.4700,83.7000,82.2000,82.9800,4627960
20060403,82.4800,84.4500,82.4400,82.7200,4756020
20060410,81.9800,82.7400,80.6300,82.2700,4573075
20060417,81.6600,84.0000,81.2600,81.9200,7089860
20060424,82.3400,84.4000,81.1000,81.3000,7297060
20060501,83.2800,83.3400,82.0000,82.5900,4908000
20060508,82.3900,83.6900,82.3000,82.6000,4463980
20060515,80.2800,83.2500,79.5100,81.8000,5725980
20060522,80.7500,81.3000,79.0600,79.8300,5244540
20060530,79.5200,80.9600,79.1500,80.3500,5883200
20060605,77.6300,80.7400,76.7500,79.1000,8068200
20060612,77.9500,78.7800,76.8200,77.6300,6630100
20060619,77.1000,78.5600,76.9400,77.9000,5414000
20060626,76.8200,77.9300,76.0600,77.0400,5359500
20060703,76.4200,78.5300,76.1200,77.5400,4549950
20060710,73.5700,76.8300,73.3700,76.1800,7465160
20060717,74.8600,77.0600,72.7300,73.3500,10122900
20060724,76.9600,77.3000,74.9200,74.9200,5133280
20060731,75.9100,77.5000,75.3200,76.4400,4180100
20060807,75.4800,76.2800,75.0500,75.6300,3810940
20060814,79.9000,79.9700,75.6000,76.0500,5860780
20060821,79.8800,80.0000,78.4200,79.5100,3612020
20060828,81.4100,81.6800,79.7600,79.9100,4447380
20060905,80.6600,81.5400,79.3100,81.1900,4027000
20060911,82.9400,83.5900,80.2500,80.6000,5485160
20060918,81.2100,83.7900,81.0100,82.5600,6058000
20060925,81.9400,82.7900,81.2800,81.6500,5131660
20061002,83.1400,83.7800,81.5600,81.7600,5147720
20061009,86.0800,86.2100,83.0000,83.1400,5372800
20061016,90.4800,92.0400,85.7500,86.0800,13573220
20061023,90.7600,92.0000,90.0100,90.0500,7007460
20061030,91.4100,92.6800,89.8000,89.8000,6021700
20061106,91.7600,93.4000,91.5000,91.5000,5891300
20061113,93.8100,94.0500,91.4100,91.5500,4765320
20061120,93.3500,93.8000,92.8000,93.6000,3389975
20061127,91.2500,93.2400,90.4300,92.7100,5557040
20061204,93.8600,94.8700,92.2500,92.5000,5758440
20061211,95.3000,95.8000,93.3000,93.7200,6082980
20061218,95.2500,96.5000,94.8000,94.9500,4801960
20061226,97.1500,97.8800,94.9200,95.0000,3951975
20070103,97.4200,98.7900,96.2600,97.1800,8980866
20070108,99.3400,100.3300,97.9300,98.5000,8966040
20070116,96.1700,100.9000,94.5500,99.4000,14618700
20070122,97.4500,97.9200,96.1200,96.4200,8309820
20070129,99.1700,99.7300,97.4500,97.7000,6834460
20070205,98.5500,100.4400,97.8100,99.1700,6933680
20070212,98.9900,99.5200,97.8000,98.8000,5409580
20070220,97.7300,99.5000,97.4100,98.6600,5170625
20070226,90.9000,97.8600,88.7700,97.8600,10485480
20070305,93.2800,94.8500,90.1000,90.2500,8701020
20070312,93.2500,94.4700,92.1000,93.2900,7284600
20070319,95.0300,95.8100,93.3900,93.9500,5381320
20070326,94.2600,95.2500,93.5700,95.0000,6808560
20070402,96.5200,96.7500,94.0600,94.5100,4799450
20070409,94.9300,96.9400,94.5300,96.4300,5499400
20070416,94.5800,97.6600,93.9100,94.9900,10357340
20070423,101.1700,101.7000,95.0500,95.1600,11655060
20070430,102.9600,103.1700,100.9700,101.1100,7661560
20070507,105.9800,105.9900,102.2100,102.7600,6995820
20070514,107.9900,108.0500,104.5300,105.8100,7002840
20070521,105.1800,108.0000,103.5700,107.6700,6054340
20070529,106.5400,107.6700,105.2100,105.5700,5802050
20070604,103.0700,106.5900,101.5600,106.5000,12637140
20070611,105.0900,105.1900,102.1000,102.8700,6903400
